id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
1001,"Autauga County, Alabama",36136,32284,15515,27343,31881,51839,65474
1003,"Baldwin County, Alabama",132744,31551,19080,25548,31236,44477,53634
1005,"Barbour County, Alabama",18752,25347,22147,21433,22732,41847,50236
1007,"Bibb County, Alabama",15639,27727,20909,30520,22840,29602,41775
1009,"Blount County, Alabama",39227,32409,24838,27086,35581,50284,52535
1013,"Butler County, Alabama",13975,29368,21571,23366,30463,42804,50195
1015,"Calhoun County, Alabama",78640,27550,15829,26044,27436,39338,47633
1017,"Chambers County, Alabama",23758,29765,20902,24751,30519,51849,53971
1019,"Cherokee County, Alabama",18790,30426,18695,25696,37906,41281,53958
1021,"Chilton County, Alabama",29496,31858,29211,27061,33796,44405,49413
1025,"Clarke County, Alabama",17095,29672,18245,26070,33069,36201,52119
1031,"Coffee County, Alabama",34632,29999,22183,23306,28894,43131,57882
1033,"Colbert County, Alabama",37922,31460,17759,24988,31037,48811,54090
1039,"Covington County, Alabama",26485,26707,19949,22624,25898,42272,51801
1043,"Cullman County, Alabama",55290,30654,19203,26290,31706,41796,57096
1045,"Dale County, Alabama",33329,29987,18880,23619,32835,42540,60801
1047,"Dallas County, Alabama",27807,25125,20936,21723,23567,31976,51615
1049,"DeKalb County, Alabama",46481,27308,21706,25717,28660,40098,50547
1051,"Elmore County, Alabama",54083,35535,15800,28929,34070,49610,54109
1053,"Escambia County, Alabama",26196,26742,15453,23563,27482,31916,55938
1055,"Etowah County, Alabama",71601,28348,20178,24164,27427,41301,52097
1059,"Franklin County, Alabama",21153,28658,22026,30481,26825,36022,46000
1061,"Geneva County, Alabama",18802,26894,18279,24500,30668,36588,47964
1069,"Houston County, Alabama",69708,29948,17285,23392,30743,46015,56840
1071,"Jackson County, Alabama",36917,28668,23716,26047,30023,48109,50893
1073,"Jefferson County, Alabama",442992,34538,17210,25062,31698,47175,57571
1077,"Lauderdale County, Alabama",62712,31231,19892,29333,30429,37132,52264
1079,"Lawrence County, Alabama",23349,32062,22294,31511,30938,42266,53125
1081,"Lee County, Alabama",85397,35068,20461,26375,31238,44250,54657
1083,"Limestone County, Alabama",59793,33696,21681,26127,32558,50825,65096
1087,"Macon County, Alabama",12537,25171,19949,23675,25561,35473,50481
1089,"Madison County, Alabama",229719,36784,17818,25140,30625,54592,74657
