Abbeville,11
Adamsville,19
Addison,1
Alabaster,44
Alexander City,119
Aliceville,7
Andalusia,34
Anniston,461
Arab,32
Ardmore,2
Arley,3
Ashford,2
Ashland,9
Ashville,10
Athens,16
Atmore,52
Auburn,115
Bay Minette,47
Bear Creek,4
Bessemer,527
Birmingham,2852
Blountsville,6
Brent,16
Brewton,47
Bridgeport,13
Brilliant,4
Butler,6
Camp Hill,22
Carbon Hill,14
Cedar Bluff,20
Centre,21
Centreville,0
Chickasaw,53
Childersburg,1
Citronelle,22
Clanton,52
Clayton,8
Coaling,10
Collinsville,6
Cordova,15
Creola,10
Crossville,0
Cullman,31
Dadeville,17
Daleville,17
Daphne,31
Dauphin Island,4
Decatur,149
Demopolis,47
Dora,21
Dothan,334
Double Springs,5
Douglas,1
East Brewton,22
Eclectic,11
Elba,29
Enterprise,112
Eufaula,78
Eutaw,46
Evergreen,37
Fairfield,181
Fairhope,40
Fayette,11
Flomaton,9
Florala,10
Florence,207
Foley,55
Fyffe,3
Gadsden,424
Gardendale,53
Geneva,13
Georgiana,12
Glencoe,13
Grant,4
Greenville,0
Guin,16
Gulf Shores,51
Guntersville,48
Gurley,4
Hackleburg,3
Hamilton,12
Hanceville,16
Hartford,13
Hartselle,19
Headland,7
Helena,18
Henagar,3
Hokes Bluff,3
Hoover,74
Hueytown,26
Huntsville,1507
Ider,5
Irondale,46
Jackson,34
Jacksonville,35
Jasper,113
Jemison,13
Kinsey,2
Lafayette,19
Lake View,6
Lanett,75
Leeds,57
Leesburg,10
Leighton,8
Level Plains,11
Lincoln,31
Linden,16
Livingston,18
Loxley,17
Luverne,11
Madison,133
Maplesville,4
Margaret,4
McIntosh,10
Midfield,47
Midland City,16
Millbrook,54
Mobile,1541
Monroeville,78
Montevallo,15
Moody,21
Morris,5
Moulton,5
Moundville,3
Mountain Brook,12
Mount Vernon,28
Muscle Shoals,58
Napier Field,4
New Brockton,5
New Hope,17
Newton,3
Northport,114
Notasulga,7
Odenville,21
Oneonta,21
Opelika,165
Owens Crossroads,1
Oxford,62
Ozark,86
Pelham,26
Pell City,66
Phenix City,211
Piedmont,20
Pine Hill,6
Pleasant Grove,19
Powell,8
Prattville,86
Priceville,6
Prichard,469
Ragland,5
Rainbow City,14
Rainsville,15
Red Bay,10
Reform,6
Riverside,8
Robertsdale,28
Russellville,42
Samson,19
Saraland,37
Sardis City,0
Satsuma,15
Scottsboro,64
Selma,245
Sheffield,80
Silverhill,0
Slocomb,4
Snead,3
Southside,10
Springville,5
Sulligent,4
Sumiton,14
Summerdale,9
Sylacauga,55
Sylvania,1
Talladega,129
Tallassee,0
Tarrant,18
Taylor,1
Thorsby,3
Town Creek,7
Trinity,5
Troy,132
Tuscaloosa,434
Tuscumbia,47
Tuskegee,82
Valley,79
Valley Head,1
Vance,4
Vestavia Hills,17
Warrior,9
Weaver,24
Wedowee,9
Wetumpka,40
Winfield,23
Woodstock,2
York,21
Anchorage,2435
Bethel,56
Bristol Bay Borough,1
Cordova,9
Craig,27
Dillingham,47
Fairbanks,213
Haines,7
Homer,63
Juneau,134
Kenai,30
Ketchikan,32
Kodiak,87
Kotzebue,85
Nome,34
North Pole,19
North Slope Borough,79
Palmer,20
Petersburg,6
Seward,6
Sitka,7
Skagway,3
Soldotna,19
Unalaska,15
Valdez,16
Wasilla,42
Wrangell,6
Bisbee,74
Buckeye,49
Bullhead City,76
Camp Verde,33
Casa Grande,229
Chandler,575
Chino Valley,50
Clarkdale,5
Clifton,11
Coolidge,66
Cottonwood,44
Eagar,15
El Mirage,86
Eloy,72
Flagstaff,246
Florence,24
Fredonia,3
Gilbert,193
Glendale,905
Globe,77
Goodyear,94
Holbrook,49
Huachuca City,0
Jerome,3
Kearny,8
Kingman,128
Lake Havasu City,87
Mammoth,5
Marana,37
Maricopa,62
Mesa,1807
Miami,19
Nogales,39
Page,59
Paradise Valley,13
Payson,56
Peoria,254
Phoenix,9492
Pima,4
Pinetop-Lakeside,34
Prescott,124
Prescott Valley,82
Quartzsite6,16
Sahuarita,17
San Luis,37
Scottsdale,337
Sedona,20
Show Low,125
Snowflake-Taylor,21
Somerton,15
South Tucson,150
Springerville,9
St. Johns,19
Surprise,149
Tempe,831
Thatcher,1
Tolleson,37
Tucson,3368
Wickenburg,15
Willcox,11
Williams,12
Winslow,95
Yuma,587
Arkadelphia,40
Ashdown,11
Ash Flat,1
Atkins,2
Bald Knob,3
Barling,19
Bay,1
Bearden,4
Beebe,19
Bella Vista,26
Benton,107
Bentonville,61
Berryville,7
Blytheville,235
Booneville,4
Bradford,3
Brinkley,13
Brookland,2
Bryant,12
Bull Shoals,8
Cabot,55
Caddo Valley,1
Camden,63
Cammack Village,0
Caraway,6
Carlisle,12
Cave City,4
Cave Springs,5
Centerton,19
Charleston,11
Cherokee Village,8
Clarendon,2
Clarksville,15
Clinton,3
Conway,239
Corning,13
Cotter,2
Crossett,27
Danville,3
Dardanelle,21
